Insurance Name,Question,Answer
Easy Health,What is the HDFC Life Easy Health Plan?,"HDFC Life Easy Health is a fixed benefit, health insurance plan that provides coverage against Critical Illness, specified Surgeries and also provide Daily Hospital Cash Benefit in case of hospitalization. The cover will be available for a period of 5 years."
Easy Health,What is the policy term available with this product?,"There is a fixed policy term of 5 years. Further, you shall only pay premiums for the benefit(s) as long as the complete payout for the that benefit has not happened. The policyholder shall have the option to choose one of the above plan options at the time of policy inception, only."
Easy Health,What are the premium payment frequencies available for this product?,You can choose to pay your premiums either annually (Regular Premium) or one time (Single Premium).
Easy Health,What is the maximum and minimum premium in this product?,"The minimum and maximum premium amounts differ depending on if single or annual mode of premium payment is selected.

The minimum premium under the product is:
Rs 2,184 for Single Pay
Rs 676 for Regular Pay
The maximum premium under the product is:
Rs 4,04,279 for Single Pay
Rs 1,22,068 for Regular Pay
These premium amounts are exclusive of applicable taxes and Swachh Bharat Cess."
Easy Health,Are there any Tax benefits with this product?,"Yes, you may be eligible for tax benefits7   under section 80D of the Income Tax Act 1961.

Please note that the above mentioned benefits are as per the current tax laws. Your tax benefits may change if the tax laws are changed. It is advisable to re-confirm the same with your tax consultant."
Click2Protect,I have a company cover - do I need a term plan? ,"People have enormous faith in the life insurance cover that their employer provides for them. Our research insights tell us that cover provided by the employer typically is equal to the annual income. This isn't adequate. Also, this insurance lasts as long as you are employed with the organization. If you change jobs, start a company of your own or become a freelancer, you won't have the same insurance cover. If these events happen when you are older, the cost of insurance will be higher t"
Click2Protect,Till when do you need the cover? What should be an ideal policy term?,"

Your insurance policy should cover a person till the age he intends to retire. Till a few years ago, this was 60 years. However, in our new age we may have late marriages and having children at a higher age mean responsibilities do not end at 60. Experts suggest a life cover till 65 years, though it may vary according to circumstances.

We will not recommend you a short-term cover of 15-20 years that ends when you are in your 40s. The premium will be very low because you will be insuring yourself for the non-risky years. 40s are perhaps the time when you should have the best possible coverage. If you take fresh insurance at that age, it will be very expensive. You might even be denied a policy because of your health.
"
Click2Protect,Why can't HDFC Life issue the policy there and then? Why will HDFC Life ask for further details when the online form is exhaustive or long?,"It is important that every person pays the correct premium amount and gets the correct life insurance cover. This will differ from person to person, depending on their risk profile in terms of their financial and health disclosures. HDFC Life always carries out its underwriting procedures thoroughly and carefully before the policy is issued so that when you actually need the money at the time of the claim, it is done in an efficient and hassle free manner and no problems arise for you. Because of this, we also have one of the highest claim settlements in the industry."
Click2Protect,Where can I contact / write to know the status of my application?,You can write to us at onlinequery@hdfclife.in or call our toll free number 1800 266 9777
Click2Protect,Can I buy one more online policy? ,"Yes, you can buy another online policy in your name if you believe you need more life cover. However, the acceptance of the same will be subject to underwriting approval."
Documents,What all documents would be required from my end to close the policy?,"We would require your KYC documents i.e. 1) Age proof 2) Identity proof 3) Address proof 4) Income proof. Other than that, there might be a requirement from our underwriting or medical team, which HDFC Life would keep you updated about."
Documents,"
How can I change the details in my application form?
","You can only change the details in your application form before you press Submit on the online portal. Once your policy is submitted and payment is made, you cannot make any changes in the details of your form. If you need to make any change, please login to refill the form with the correct details once again."
Documents,Why can't HDFC Life issue the policy there and then? Why will HDFC Life ask for further details when the online form is exhaustive or long?,"

It is important that every person pays the correct premium amount and gets the correct life insurance cover. This will differ from person to person, depending on their risk profile in terms of their financial and health disclosures. HDFC Life always carries out its underwriting procedures thoroughly and carefully before the policy is issued so that when you actually need the money at the time of the claim, it is done in an efficient and hassle free manner and no problems arise for you. Because of this, we also have one of the highest claim settlements in the industry.
"
Documents,How much time will be taken for processing after you get my documents?,"

It will take approximately 5 to 10 working days to issue your policy after all your KYC or Financial documents, medical results (if medicals are done) are received. Once we receive your documents, your policy will go through our underwriting processes. In the meantime, HDFC Life may contact you from time to time for any medical/underwriting or further requirements. After all these processes are cleared, your policy will be issued and documents will be couriered to you. Do remember to put in your exact pin code, communication address which will help us deliver your documents correctly.
"
Documents,What is the purpose of medicals when I have already declared my health on the application form?,"

Your health disclosures on the form only provide certain standard details about your health status. A further medical examination process is called for by our underwriters only when further requirements are needed to scrutinize the application. This is to understand completely and correctly your health status. These underwriting standards adopted by HDFC Life ensure that at a later stage, if a claim needs to be processed, it can be done in a hassle free manner.
"
Documents,Will I have to undergo a Medical test?,"The requirement for a medical test may or may not arise depending on the underwriting requirements and your health disclosures. Your medical tests will be short and basic (some examples are: blood test, urine test etc.) and rest will depend on your health status. This will be communicated to you by HDFC Life if the requirement arises."
Documents,Do I need to do anything else after making the payment?,"

You simply have to complete the verification call that may be made to you by HDFC Life and send your documents. In case there is a requirement for a medical examination or any other underwriting requirement, our representatives will keep you updated.
"
Term Insurance,What is an ideal insurance cover?,"The ideal life insurance cover which should be at least 5-10 times your annual income. Simply put, you should have enough life insurance cover so that your family can cover the liabilities and manage for at least 5-7 years without your income."
Term Insurance,I have a company cover - do I need a term plan? ,"

People have enormous faith in the life insurance cover that their employer provides for them. Our research insights tell us that cover provided by the employer typically is equal to the annual income. This isn't adequate. Also, this insurance lasts as long as you are employed with the organization. If you change jobs, start a company of your own or become a freelancer, you won't have the same insurance cover. If these events happen when you are older, the cost of insurance will be higher too.
"
